word,Cov,positive,negative
year,116.4,0.0,100.0
business,67.3,0.0,100.0
growth,62.7,0.0,100.0
last,46.2,0.0,96.4
sales,45.1,0.0,100.0
continue,38.1,0.0,99.8
good,35.3,0.0,99.4
little,31.2,0.0,97.0
bit,26.8,0.2,98.4
strong,26.2,0.0,100.0
basis,25.7,0.2,99.4
back,25.5,0.0,98.6
margin,25.4,0.0,100.0
cost,23.4,0.2,95.8
impact,21.9,0.0,100.0
years,21.0,0.0,97.0
higher,21.0,0.0,98.0
increased,20.5,0.0,95.8
performance,17.3,0.0,100.0
line,17.1,0.0,96.8
half,17.0,0.0,99.2
markets,16.5,0.0,98.4
better,15.2,0.0,100.0
full,15.0,0.0,100.0
margins,14.2,0.0,100.0
versus,13.6,0.0,100.0
price,13.4,0.0,100.0
points,13.2,0.0,100.0
segment,13.0,0.0,100.0
across,12.3,0.0,100.0
